Lead Origin,Last Activity,What is your current occupation,Lead Profile,pvps_totalvisits,Engagement_Score,Converted
0,8,3,1,0.1804775250950842,-0.5883460287297415,1
1,8,3,0,-0.6556590419358611,1.5060375213551425,0
0,3,2,4,-0.6556590419358611,-0.0960841535580124,0
1,3,0,0,0.3198336196002417,-0.4076078125689037,0
1,5,3,0,-0.3072688056729672,-0.3522056458060338,0
1,3,3,0,-0.0633956402889415,0.6663768136129589,0
0,8,3,0,-0.7950151364410187,-0.9416483708732888,0
1,8,3,0,-0.3072688056729672,-0.5647319904373708,0
0,8,0,0,2.9675994151982352,0.77854349550172,1
1,8,3,3,-0.6556590419358611,2.1472494842172103,0
1,8,0,0,-0.6556590419358611,-0.953455390019474,0
1,8,3,3,-0.3072688056729672,-0.3376739299338057,1
0,3,3,0,-0.6556590419358611,-1.0533609366410426,0
2,9,3,0,-0.5163029474307036,0.7930752113739482,1
0,3,3,0,-0.8646931836935975,1.9002103143893316,1
2,3,4,3,-0.9343712309461762,-1.0715255814813278,0
0,7,3,3,-0.376946852925546,-0.726397329515909,0
1,8,0,0,-0.6556590419358611,0.5251466999797414,0
1,3,0,0,-0.3072688056729672,-0.1305969787545543,0
2,8,3,0,-0.9343712309461762,-1.0715255814813278,1
1,1,0,0,-0.6556590419358611,0.0165366444517557,0
1,3,3,0,-0.3072688056729672,1.382517936441203,1
1,3,3,0,-0.6556590419358611,-0.7427455098721657,1
1,8,2,0,0.8075799503682932,0.799432837068048,1
0,3,3,1,-0.6556590419358611,-0.7100491491596523,0
1,3,4,0,-0.3072688056729672,0.0165366444517557,1
1,1,3,0,1.57403847014666,0.6650144652499375,0
1,10,3,0,-0.8646931836935975,1.4043155102495453,1
1,7,0,0,0.7204823913025697,0.4179752954220587,0
1,3,4,1,-0.6556590419358611,0.6995272904464793,1
0,0,3,1,-0.3072688056729672,-0.7300302584839661,0
0,3,3,1,-0.6556590419358611,-0.7936065154249643,0
2,7,3,0,-0.6556590419358611,1.7439943687628785,1
1,7,3,0,0.1804775250950842,1.1808903787140372,0
1,8,0,0,-0.6556590419358611,-0.3340410009657486,0
1,7,3,4,-0.0982346639152309,-0.5610990614693137,0
1,3,3,3,-0.6208200183095718,-0.5079674753114795,0
1,8,0,0,-0.6556590419358611,0.0092707865156416,0
1,0,3,0,-0.6556590419358611,-0.5738143128575133,0
0,3,4,3,-0.0633956402889415,1.400228465160481,1
1,8,4,3,-0.6556590419358611,1.696766292178137,1
1,3,3,1,-0.6556590419358611,-0.7391125809041087,0
1,3,3,3,-0.6556590419358611,1.0010603947952137,1
1,8,3,0,-0.3072688056729672,1.6386394286892243,0
0,3,0,0,-0.6556590419358611,-0.4321300831032887,0
1,5,4,0,0.8075799503682932,1.5805125652003118,1
1,3,3,0,1.57403847014666,-0.2886293888650356,0
1,8,0,0,0.8075799503682932,-0.5411179521449999,0
1,2,0,0,0.1804775250950842,0.2980886394761764,0
1,2,3,1,0.476609225918544,-0.3946655031202005,0
2,3,3,2,-0.9343712309461762,-1.0715255814813278,1
1,8,0,0,-0.3072688056729672,1.4606259092544294,1
1,3,0,0,0.1804775250950842,-0.8735309527222191,0
1,3,3,0,-0.3072688056729672,-1.002499931088244,0
0,5,3,0,0.1804775250950842,0.2672087432476915,1
1,3,3,0,0.1804775250950842,0.1927336994025222,0
1,8,0,0,0.1804775250950842,1.0446555424118982,0
1,7,3,3,0.9469360448734508,0.617786388665196,1
1,3,0,0,0.1804775250950842,-0.5175039138526292,0
2,7,3,3,-0.8646931836935975,1.6295571062690817,1
1,3,2,4,-0.6556590419358611,-0.2740976729928074,0
0,8,3,0,0.1804775250950842,-0.8717144882381906,0
1,7,3,0,0.5539518583689065,-0.4987307534101944,0
1,8,3,3,-0.3072688056729672,-0.5211368428206862,0
0,3,0,0,-0.6556590419358611,-0.3976172579067468,0
1,3,0,0,0.1804775250950842,-0.275914137476836,0
0,5,0,0,-0.7950151364410187,-0.9125849391288324,0
0,8,3,0,-0.6556590419358611,0.1727525900782085,1
1,3,0,0,0.1804775250950842,-0.7790747995527361,0
1,3,3,1,0.3198336196002417,-0.4748169984779589,0
0,8,4,0,-0.6556590419358611,0.488817410299171,1
1,8,3,0,0.2020777197433838,-0.2674403306588429,1
1,3,3,3,0.3198336196002417,1.0855259933025398,1
0,8,0,0,-0.9343712309461762,-1.0715255814813278,0
1,3,0,0,-0.3072688056729672,-0.9480059965673884,0
1,3,0,0,0.8075799503682932,2.136350697313039,1
1,8,3,0,-0.6556590419358611,0.1945501638865507,1
1,3,3,4,-0.6556590419358611,-0.987968215216016,0
0,3,0,0,0.8075799503682932,-0.4357630120713457,0
0,3,3,3,-0.9343712309461762,-1.0715255814813278,1
0,3,0,0,0.8075799503682932,-0.0942676890739839,0
1,5,0,0,0.8075799503682932,-0.7354796519360516,0
0,3,3,0,-0.6556590419358611,-0.6137765315061408,0
0,5,3,0,-0.6208200183095718,-0.6278541312573618,0
2,3,3,0,-0.9343712309461762,-1.0715255814813278,1
1,8,3,3,-0.6556590419358611,2.0927555496963546,0
0,5,0,0,-0.6208200183095718,-0.8530957272768983,0
0,7,3,1,1.57403847014666,1.1645421983577806,0
1,3,2,4,-0.6556590419358611,1.0392061489598126,0
0,5,3,0,-0.3072688056729672,-0.5738143128575133,0
1,8,3,3,0.8859677535274444,1.6243347708774998,1
1,1,0,0,-0.72533708918844,1.1790739142300086,0
2,3,2,1,-0.9343712309461762,-1.0715255814813278,1
