Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity
API,Chat,No,No,0,0.0,0,0.0,Page Visited on Website,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,5.0,674,2.5,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,2.0,1532,2.0,Email Opened,Business Administration,Student,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,1.0,305,1.0,Unreachable,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,1,2.0,1428,1.0,Converted to Lead,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,2.0,1640,2.0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,71,2.0,Email Opened,IT Projects Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Opened
API,Google,No,No,0,4.0,58,4.0,Email Opened,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Organic Search,No,No,1,8.0,1351,7.0,Email Opened,Hospitality & Tourism,Unemployed,Will revert after reading the email,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,8.0,1343,2.67,Page Visited on Website,Human Resource Management,Unemployed,Lost to EINS,Not Specified,Thane & Outskirts,Yes,Page Visited on Website
API,Organic Search,No,No,1,9.5,1538,7.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,0,5.0,170,5.0,Email Opened,Business Administration,Unemployed,Ringing,Not Specified,Thane & Outskirts,Yes,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Business Administration,Unemployed,Not Specified,Not Specified,Not Specified,No,Other
API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,Email Opened
API,Referral,No,No,0,6.0,973,6.0,Email Link Clicked,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,6.0,1688,3.0,Page Visited on Website,Marketing & Advertising,Unemployed,Not Specified,Not Specified,Mumbai,No,Page Visited on Website
API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,Marketing & Advertising,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,Not Specified,Unemployed,Will Revert,Potential Lead,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Google,No,No,0,4.0,771,4.0,Email Link Clicked,Finance & Banking,Unemployed,Ringing,Not Specified,Mumbai,No,Email Link Clicked
API,Google,No,No,1,6.0,1137,1.5,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,1,3.0,1068,3.0,Form Submitted on Website,Hospitality & Tourism,Unemployed,Busy,Not Specified,Mumbai,No,Modified
Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,182,5.0,Email Opened,Not Specified,Student,switched off,Not Specified,Mumbai,No,Email Opened
API,Google,No,No,1,3.0,78,3.0,Unreachable,International Business,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Other
Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,Email Opened
API,Google,No,No,0,3.0,88,1.5,Email Opened,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Referral,No,No,0,4.0,223,2.0,Page Visited on Website,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,3.0,74,1.5,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,1,4.0,16,2.0,Page Visited on Website,E-Commerce,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
API,Referral,No,No,1,3.0,98,3.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,Operations Management,Unemployed,Ringing,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,Finance & Banking,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Link Clicked
Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,Email Opened
API,Direct Traffic,No,No,0,3.0,342,3.0,Email Opened,Not Specified,Unemployed,Busy,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Other,Retail Management,Unemployed,Busy,Other Leads,Mumbai,Yes,Other
API,Google,No,No,0,5.0,199,5.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,0,5.0,222,5.0,Email Opened,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
